variant,event_date,event_name,compound,tyre_life,observed,predicted
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,5,-1.2099999999999973,1.932742366886903
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,6,-1.3179999999999978,1.932742366886903
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,7,-1.3267500000000005,1.932742366886903
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,8,-1.2757500000000022,1.932742366886903
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,9,-1.652000000000001,1.732415155888443
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,10,-1.5626666666666675,1.7712848460583501
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,11,-1.6350000000000005,1.7712848460583501
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,12,-1.4379999999999977,1.7712848460583501
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,13,-1.3933333333333309,1.7712848460583501
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,14,-1.5879999999999985,1.8070554997050177
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,15,-2.5749999999999957,1.384571693798984
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,16,-2.052499999999995,1.384571693798984
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,17,-3.0489999999999995,1.384571693798984
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,18,-2.9110000000000014,1.384571693798984
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,19,-2.835000000000001,1.384571693798984
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,20,-2.7595000000000027,1.384571693798984
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,2,0.7675454545454543,1.9676386765728253
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,3,1.6994444444444463,2.064578966245906
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,4,2.6953636363636364,1.8733192760574775
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,5,1.6346363636363632,1.7971671515249887
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,6,2.213499999999999,1.7666392859209228
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,7,2.022499999999998,1.7518887386849429
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,8,2.3020769230769225,1.6821871494221716
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,9,2.1681428571428563,1.6810080486527874
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,10,2.257250000000001,1.6997304898362269
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,11,2.6140625,1.700211749575227
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,12,2.395733333333331,1.697085451839574
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,13,2.170266666666669,1.6992364963732887
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,14,2.744533333333335,1.6835260629382636
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,15,2.5648666666666666,1.701506009921529
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,16,2.434769230769229,1.6936663166324974
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,17,2.644,1.7213066867164493
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,18,2.1672222222222217,1.5537648544823248
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,19,2.0114999999999963,1.4753550175160326
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,20,2.16925,1.4753550175160326
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,21,2.1195000000000004,1.4753550175160326
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,22,2.3021249999999984,1.4753550175160326
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,23,2.2829999999999995,1.4753550175160326
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,24,2.4037499999999987,1.4753550175160326
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,25,2.5192499999999995,1.4839710694609076
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,26,2.622,1.5133074376589828
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,27,2.469999999999999,1.5133074376589828
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,28,2.593,1.5133074376589828
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,29,3.091000000000001,1.5133074376589828
hgb_raw,2025-04-13,Bahrain Grand Prix,HARD,30,3.099000000000004,1.5133074376589828
hgb_raw,2025-04-13,Bahrain Grand Prix,MEDIUM,2,1.4291538461538467,1.9979422702104834
