variant,fold,split,n_features,degradation_slope_error,mae,mse,rmse,runtime_seconds
hgb_track_pca4,2024-07-07::British Grand Prix,development,28,0.08399108741899071,2.1750405650014675,8.883852193260307,2.980579170775423,1.784946494968608
hgb_raw,2024-07-21::Hungarian Grand Prix,development,37,0.023948620992015102,1.015212931524586,1.7526480105025777,1.3238761311023692,1.9132827590219676
hgb_track_pca4,2024-07-21::Hungarian Grand Prix,development,28,0.019875678864681365,1.000323811202331,1.6772475221744698,1.2950859130476517,1.6287500930484384
hgb_raw,2024-07-28::Belgian Grand Prix,development,37,0.013355257487791386,4.304870083101372,20.201431519817056,4.494600262516908,1.7964772380655631
hgb_track_pca4,2024-07-28::Belgian Grand Prix,development,28,0.01362830326675233,3.8881866136881187,16.487772610806545,4.0605138358102595,1.666173995938152
hgb_raw,2024-08-25::Dutch Grand Prix,development,37,0.06247347720060085,0.8353694642089871,1.3761312378486255,1.173086202224127,1.8042159109609202
hgb_track_pca4,2024-08-25::Dutch Grand Prix,development,28,0.059990812877037024,0.8994831008220449,1.4895703097422388,1.2204795408945777,1.8004965719301254
hgb_raw,2024-09-01::Italian Grand Prix,development,37,0.15675828092471736,3.130984259371105,12.030433776180296,3.4684915707235464,1.8650001359637827
hgb_track_pca4,2024-09-01::Italian Grand Prix,development,28,0.1562298339923314,3.1247361753681604,11.742207539889023,3.4266904645574603,1.7167140720412135
hgb_raw,2024-09-15::Azerbaijan Grand Prix,development,37,0.1395193138121427,1.1916172334341022,3.1670064081182048,1.779608498551916,2.0031320999842137
hgb_track_pca4,2024-09-15::Azerbaijan Grand Prix,development,28,0.13601253996155319,1.2862991900572442,3.4632437752194316,1.8609792516896666,1.7074865099275485
hgb_raw,2024-09-22::Singapore Grand Prix,development,37,0.051131759461227666,1.4484576067928752,3.643255835432418,1.908731472845884,2.7155274760443717
hgb_track_pca4,2024-09-22::Singapore Grand Prix,development,28,0.05238911761434376,1.2373821324602103,3.048410161472374,1.745969690880221,2.169251740910113
hgb_raw,2024-10-20::United States Grand Prix,development,37,0.44785188661438835,1.5082254757112126,3.046842849731823,1.7455207961327253,1.8014090210199356
hgb_track_pca4,2024-10-20::United States Grand Prix,development,28,0.43186230194804237,1.141996094018885,1.8629211978754263,1.3648887126339004,2.728071747929789
hgb_raw,2024-10-27::Mexico City Grand Prix,development,37,0.570356300478653,2.8569845589469844,11.816564993843059,3.4375230899359877,2.099896847968921
hgb_track_pca4,2024-10-27::Mexico City Grand Prix,development,28,0.5726993815836299,2.3790485809693,8.85370773559287,2.975518061715114,1.8333143210038543
hgb_raw,2024-11-03::São Paulo Grand Prix,development,37,0.03509399015547071,2.1145975201329232,7.813319980096345,2.7952316505249337,2.0999935150612146
hgb_track_pca4,2024-11-03::São Paulo Grand Prix,development,28,0.06762195692266139,2.2773591851169113,8.313691192027159,2.8833472201639467,2.033601697999984
hgb_raw,2024-11-23::Las Vegas Grand Prix,development,37,0.0848566177529515,1.637368478661281,14.705927258219576,3.8348307991643615,2.130674620042555
hgb_track_pca4,2024-11-23::Las Vegas Grand Prix,development,28,0.08650935228466705,1.6541254120736832,14.80741499225386,3.8480404093842178,1.938998676952906
