Compound,TyreLife,LapTimeDelta,prediction
SOFT,23.0,0.3616724137931033,1.4288469208270689
SOFT,24.0,0.28462745098039366,1.3886785636617782
SOFT,25.0,0.5644651162790699,1.4289086519743888
SOFT,26.0,0.37511428571428623,1.4216111191077938
SOFT,27.0,0.5381481481481487,1.4084947233723506
SOFT,28.0,0.35380952380952546,1.4398619903109404
SOFT,29.0,0.13264705882352834,1.442119954972684
SOFT,30.0,0.17800000000000166,1.3651831658246263
SOFT,31.0,0.015800000000001552,1.3742505917884937
SOFT,32.0,0.49450000000000033,1.3710191990740588
SOFT,33.0,0.8568333333333341,1.3337136958125182
SOFT,34.0,-0.02850000000000108,1.218711332661708
SOFT,35.0,0.27724999999999866,1.3341959237830714
SOFT,36.0,0.673333333333332,1.5195700188566346
SOFT,37.0,1.078666666666668,1.490753338856635
SOFT,38.0,1.7540000000000049,1.1656654802189834
